,tweet,label,marker
2178,eurafrica trial run south africa rhodesia,normal,0
5220,faggot neveryon el get face,normal,0
3057,would play excus retardedstupid peopl feel comfort nah treat everyon accord,hateful_normal,1
4721,great exampl though disagre immigr leav anyth behind that what great america c,fearful_abusive,1
3410,buh faggot boomer music racial boundari epic,fearful_abusive_disrespectful_hateful_normal,1
3293,war equal terror fuck mongoloid,offensive_hateful,1
2166,nowt wors buy pizza tasts like stale pisssi fart twatuufefuufefuufefuufefuufefuufef,offensive,1
3735,prais abil refuge go back home that want appear,offensive,1
1989,man weezi say keep mind im negro open mind get screen door,disrespectful_normal,1
2936,iud cover face retard tweet like,offensive,1
4788,letus face footi fan know know heus cunt often speak reactionnnhoweveu,normal,0
2939,ching chong live dimens,normal,0
1389,donut think pittsburgh synagogu shoot wasnut hate relat youur retard,normal,0
517,ching chong ling ling,offensive,1
2343,robert bower muslim mexican medium leftist woman refugeenwait,fearful_hateful,1
3441,wrong retard assum murder rate would signific chang white black mau,offensive,1
5063,stan mom stan tell watch osbourn go make retard,offensive,1
1389,donut think pittsburgh synagogu shoot wasnut hate relat youur retard,normal,0
421,omg babe thank uddudeduddudc,normal,0
693,countri parti presidenti candid vy one offic shithol countryu,normal,0
2850,spic,offensive,1
2132,realli wish chinaman wouldnt blown dog gamerg,normal,0
4273,come close shameless twat,normal,0
275,follow faggot,offensive_disrespectful,1
5220,faggot neveryon el get face,normal,0
5314,non mai genr blagu sur les migrant je laim de plus en plus,normal,0
3565,ya shouldnut meet nonc ya mongi,hateful_normal,1
1956,hurrrr durrr actual number mean noth here experi im mongoloid hurrr,offensive,1
1373,haiti list second wors place travel shithol wasnt talkingu,normal,0
4409,keelah lil drunk as retard uddudeuddudeuddud,normal,0
2091,car wasnut start like faggot call father help luckili knew exact wrong uu,normal,0
5507,broi love nigger,fearful_hateful,1
3322,happen white person check call spic like turn,normal,0
2938,fuck stupid polit cunt,offensive,1
5231,,normal,0
5534,cant listen nigger music,offensive,1
3644,im longer cri would like say wordsnnfuck shithol countrynfuck elit univeru,normal,0
2738,go ahead let mongoloid kill busi florida,normal,0
2344,well guess nigger cop alreadi way,normal,0
2752,sound like lil hoe begin anoth man smoke weed faggot as mfuz,normal,0
5069,close border wall build never assimil amp bring diseas that erad,normal,0
4337,grandma teach child spanish reason immigr refus learnspeak english fe,disrespectful_normal,1
2388,yeah sit front retard,offensive,1
1926,,offensive,1
2432,go fuck orang twat,normal,0
3139,open letter lord hain fair question tango twat,offensive,1
846,youur twat anymor question,fearful,1
3698,russia could becom civil mongol hord invad,offensive,1
1730,get one person care shithol countri plea thank wan na lu,normal,0
3264,hurri vote cunt,offensive_hateful,1
1988,im korean smurf ching chong sing wang su long,fearful_offensive,1
4166,shut fuck retard,offensive,1
3130,claim leftist ask vox would retract theyu,normal,0
4559,your like one listen stuff nobodi know kpop ching chong music,fearful_offensive_hateful_disrespectful_normal,1
2591,stop probabl caus im genius retard time,normal,0
1877,chuey make laugh till stomach hurt love nigger lmao,offensive_disrespectful,1
3112,soro own compani use american tax dollar build app help illeg alien evad author,hateful,1
4727,fact wire wood young elf refuge,normal,0
2953,amaz clean call today dancer uddudcudcudffb spic spoc readi weekend show udeuddudcudffc,normal,0
4454,panic attack imagin buy red dead redempt releas day soon retard tuu,normal,0
5016,im biopolar steven king book nnice retard tri retard channel,normal,0
1317,forest could win leagu record point record goodman still say shit bloke twat,normal,0
5194,canut call sing twat would get four nous perform hasnut get likeabl udeudd,normal,0
2085,man absolut mongoloid canut believ chelsea fan out,normal,0
5360,good thing donald trump never vilifi democrat group muslim mexican resid ucshithol countriesud,normal,0
2563,fajita dramat mexican dish come loud steam spici,normal,0
1535,watch shitti tiktok retard overwatch song wan na die watch brb,normal,0
3338,get gc negro,offensive,1
3245,deadass like need someth new call nigger tell cheatin,offensive,1
3039,fuck cunt,offensive,1
1756,havent get chinaman chanc,normal,0
3506,therapist tell lol ur gay kill urself faggot uddud im gon na listen haterz uufef haterz,normal,0
5096,bukhari retardnw shia dont believ anyth say,offensive,1
1520,say tucker carson cant say anyth negro,offensive,1
1712,look like get retard hors famili guy,normal,0
5484,go work negro,hateful_disrespectful,1
3778,tom zanetti youur faggot iull clear danc floor time song come lad,normal,0
2541,xddddddd u dirti plat player feel good outplay mongoloid ape could use moveu,offensive,1
2399,goal today get hous spic n span,normal,0
1032,thank god lose virgin nigger,offensive,1
2536,nba kind first week mongi booki mongi thing hope donut improv,normal,0
3130,claim leftist ask vox would retract theyu,normal,0
4753,retard strength,normal,0
3051,get emot newgen reaper retard,normal,0
3070,want drain useless faggot right love see tribut hit bank uddud remind howu,normal,0
958,love tell admir shes volunt work syrian refuge,normal,0
3693,northern nativ american mongoloid featur like asian look eskimo su,normal,0
2304,time set twit twat,normal,0
5194,canut call sing twat would get four nous perform hasnut get likeabl udeudd,normal,0
1138,fuck negro,offensive_hateful,1
4064,pristin spic span environ one might wish,normal,0
1961,get encourag folk know give shithol scholarship back shithol countri,disrespectful_normal,1
5430,hitter andslobertstak fuck overmanag mongoloid idiot hell,offensive,1
2138,hey know what differ fuck faggot faggot isnt gay youu,normal,0
3226,wait lose control dyke w,offensive,1
3117,great argument retard fact your laugh prove youru,normal,0
4447,feel like one mutual would call spic behind back,normal,0
241,im ultim spic grow littl villag beaner as ranch drug lord abuelo ik gangbu,fearful_offensive,1
746,donut uddudeuddud either crazi retard itus thin line separ could uddud,normal,0
3310,dave robert retard motherfuck hope fire dumb as dude still think playsu,hateful,1
4353,canut say anyth doesnut stem ucorang man badud mongoloiu,offensive,1
1619,wan na see ur retard dog,normal,0
549,oh leftist feminazi threaten vote republican spitbal im pre,normal,0
1356,eye saw sob brain read nigger,offensive,1
1566,shit retard invers alway appli matter dumb meme leave right litas,offensive_disrespectful,1
4753,retard strength,normal,0
5266,one irl chine whenev educ girl say ching chong shit girl goe,normal,0
3451,amaz america call ucmelt potud canut femal presid ucshitholeud countri hmm,normal,0
2928,honest canut believ ed confirm three latin american countri lil shithol one ium use ignor,normal,0
4936,key get marri trick girl within first month realiz im quirki uniqu im retard,offensive,1
69,fat mongi mess today udeuddudeudd,fearful_offensive_hateful_disrespectful_normal,1
4462,say refuge mexican uca shithol countryud debat m,offensive,1
3841,ok retard,offensive,1
5463,perhap regardless attack global south refuge dont want non violent felon,normal,0
27,dawg rondo fuck retard,offensive,1
2055,okay yes trump shouldnt call shithol countri littl respect order shithol nation,fearful_abusive_offensive_hateful_disrespectful,1
582,drunk texter retard lol,normal,0
3883,im cunt wen im readi dnt test,fearful_normal,1
4682,shout abyss yo actual retard meet resound yes nigga depth,offensive,1
2402,shoulda text faggot,offensive,1
5580,fake spic ew,abusive_offensive,1
929,twat,offensive_normal,1
5307,he booter moron like u liter retard ur anoth toxic young kid go vibe lil peepu,normal,0
26,hondura guatemala would consid shithol countri well,offensive,1
4621,read articl end im troubl choic let twat lord heu,normal,0
1142,drink special todayhillbilli blood bath also prime rib dinner special daytaco chili soup tou,normal,0
5498,get life retard,hateful,1
2587,remind one dyke fuck around amp give fem std lol amp u get ta dirtu,offensive,1
3197,person would retard,offensive,1
3798,tweet,normal,0
1791,express robust mongoloid,normal,0
1314,year old call faggot jdjsskaksja simul glitch,fearful_abusive_offensive_hateful_normal,1
5398,th retard asylum day th god jet day mix hope sinc long cross finish line u,normal,0
4526,german mayor set exampl welcom refuge cj,normal,0
597,hit like arrow move air anoth belter keown even though arrow goe straight big mongi ugli cunt,normal,0
2838,shoot shot lil faggot bitch ya girl see tonight know whatus get someth sayu,offensive,1
1332,id aint spic im pope,offensive,1
4889,trump support send mail bomb amp shoot synagogu cant call woman cunt uncivil,offensive,1
3811,cours uspic,normal,0
469,im say call shithol countri shithol shithol bad makeu,offensive_disrespectful,1
4964,im talk abt hair negro,fearful_abusive_hateful_disrespectful_normal,1
256,retard look disturb lunaticnthrow ocean brick tie ankl nnfood fisu,hateful,1
7,btw allow say shithol countri also allow say wesu,normal,0
2212,twat white hous,normal,0
541,udeuddudcudff itus time de ficar mongol,normal,0
5068,bruh negro chief keef realli record pump fist track album hahahahaha,offensive,1
2073,spent yr australia yell go back countri spit walk str,offensive_disrespectful,1
5452,nah thank svenskeren retard progress wast earli invad broxah compou,offensive_disrespectful,1
2431,fk lie twat uddud,abusive_normal,1
5564,faggot,fearful_abusive_offensive_hateful_normal,1
4881,right royal retard right everyth,fearful_offensive_disrespectful_hateful_normal,1
1528,stop read break ching chong guy start show im like fuck,offensive,1
662,cunt see tweet uguardianmemewinu n still didni click tear streamin doon face start destroyin aw hiu,offensive,1
247,leftist fanat antifa anoth terrorist organ,offensive_normal,1
3902,indigen mongol peopl major nepal,normal,0
1054,ching chong day long,offensive,1
2754,betsi devo hinder shithol countri,hateful_disrespectful,1
4362,weapon war retard shoot glock fast armalit rifl ar,offensive,1
1889,julio uria spic,normal,0
950,probabl reason okay white,normal,0
2739,im yo favorit spic,normal,0
2476,man canut take dodger fan anymor retard coach,offensive,1
3875,dont mosquito exist bring diseas suffer,abusive_normal,1
693,countri parti presidenti candid vy one offic shithol countryu,normal,0
3852,randalici retard,offensive,1
2180,consid lucki shes fuck retard,disrespectful_normal,1
5301,uhhh u stupid faggot goblin slayer actual make sen uddudcaf,abusive_offensive_hateful_disrespectful_normal,1
5453,lot ya may sound dumb retard whatev person none ya opinion ever matter dou,normal,0
1096,eat sleep dinner tonight nigger,normal,0
4542,suppos sinc oligarchi alreadi make america shithol thing leave contempl isu,normal,0
1213,feel edgi say retard everi second integr deepli vocabulari cant help,normal,0
4774,leftist scumbag real clown meanwhil jihadi commit real act terror tu,offensive,1
3299,he fellow spic,normal,0
2971,absolut cunt follow prick need give head wobbl,offensive,1
1644,fuck retard,abusive_offensive,1
2674,your blind retard loser,abusive_hateful,1
5332,fuck fucken wetback spic,normal,0
1120,ah weak northern twat yep would make sens werent americannhav nice even littleun,fearful_abusive_offensive_disrespectful_normal,1
1803,faggot lt,offensive,1
3334,soon racist call ucspicud hit bleed eye love song,offensive,1
4167,god machado twat,normal,0
234,still twat get ta give rate thisuddud,offensive,1
224,white gringx like uchow say ucth officeud bad good call spic ud,offensive_normal,1
1769,meanwhil leftist globalist monster tri blame hate crime trump dont know everythu,normal,0
3133,mayb call spic today udeudd,normal,0
972,panther suck spic as,offensive,1
1376,twat,offensive,1
307,good weekweekend feel good cuz kitchen spic span,normal,0
3570,howev donut want repeat histori peopl think weur ucsuperiorud ucshitholeud countri weur hu,normal,0
4635,ive alway think peopl like either mental retard insan havent know enough,hateful,1
29,welcom twitter club know youv report far leave retard cri babyu,offensive_hateful,1
4454,panic attack imagin buy red dead redempt releas day soon retard tuu,normal,0
262,invit someon home without know lettin illeg alien vote,normal,0
5224,shutup nigger,hateful,1
5415,backpack travel guid burkina faso,normal,0
683,ching chong wong wing bong,offensive,1
4714,retard urban naxal arriv conclus ku,abusive_offensive,1
314,retard,offensive,1
4517,ill dress black face chinaman savag injun whatev want america horsefac,normal,0
3053,thatus exact million refus travel u includ iud rather visit ucshitholeud countri wheru,offensive_normal,1
2340,thisn peac love soiboi didnt want gooki dooki ching chong chinaman die thu,offensive,1
2320,mongol wrong nationalist nif peopl nationalist wu,offensive,1
4578,yuall still use ucretardedud describ someth ridicul stupid want know deserveu,normal,0
1643,wow becom shithol countri,offensive,1
1767,dropshot bo your fuck faggot,offensive,1
5069,close border wall build never assimil amp bring diseas that erad,normal,0
804,pictur call ching chong ask eat dog lmfaoo,abusive_offensive_hateful_disrespectful_normal,1
4456,hate say cochis unfortun twat like trump leave stain credibiu,normal,0
5106,yeah whatd wear meet shes cunt think shes tough af u umm ucwereud yeah bet lol,normal,0
2898,sven play aggro jg like want wild retard jungl put blaber,offensive,1
746,donut uddudeuddud either crazi retard itus thin line separ could uddud,normal,0
2996,tell mongol stick donkey dont summon lion,normal,0
3482,parar anorex mongol,normal,0
5332,fuck fucken wetback spic,normal,0
4000,il va emmen quelqu migrant avec lui,offensive,1
2913,mean like woman along illeg alien dead peopl vote f,normal,0
3269,retard jeez,offensive_hateful,1
4697,kasey fuck dyke someon plea get twt,normal,0
3957,faggot fuck sellout iq pebbl brain autist slut,normal,0
1160,retard gt,abusive_offensive_disrespectful_hateful_normal,1
1108,barri recent trip african shithol countri want tri famili tradit clothingu,normal,0
489,lobatan waec cant reissu anoth one countri inde shithol,normal,0
1321,shot julio later feel retard,normal,0
657,fuck cunt tell,offensive,1
1375,mayb ium retard,fearful_abusive_offensive_hateful_disrespectful,1
5645,bf retard guess u r,normal,0
1110,like father like son happi birthday mon negro et mon filleulgodbless fam,normal,0
5252,leave goe nut call countri shithol insist countri shithol migu,normal,0
5269,hyaaaa trembl ching chong,normal,0
176,say tag right denilson spic,fearful_abusive_offensive_hateful_disrespectful,1
676,youur go tri come faggot ged educ help iull read quick itus funni,offensive_hateful,1
3940,meet cut dyke towson canut rememb give number,offensive_normal,1
4152,heus cunt,fearful_abusive_offensive_hateful_disrespectful,1
2344,well guess nigger cop alreadi way,normal,0
2518,shes fkn retard,offensive,1
243,yale studi undocu immigr truth,normal,0
4544,u streamong injun v retard dick measur contest,normal,0
1173,dude realli faggot,normal,0
1321,shot julio later feel retard,normal,0
332,hurt go back countri speak languag peopl ask live abroad accent,offensive,1
2849,illeg alien need ship home,normal,0
2425,donut like rallyus donut go mongoloid,offensive,1
4852,hey faggot suck ball,normal,0
835,wouldnt surpris find rd parti make movi kind plot raghead placu,offensive_hateful,1
5338,shut chink spic u go suck mom redneck,offensive,1
967,rat bring diseas must erad,normal,0
5252,leave goe nut call countri shithol insist countri shithol migu,normal,0
5207,who faggot,offensive,1
1942,idiot doesnut anyth call ucspicud ucwetbackud may seemu,offensive,1
3323,itus america anymor weur third world shithol countri run tyrant see fast happen,offensive,1
3368,ad video playlist martin garrix anim dj fatal despic mash,normal,0
3705,arm guard templ live ucshitholeudcountri time dt finisheduddud,normal,0
1993,mongi fan decid nick wednesday use forest lot fusu,normal,0
3294,mongol vow continu refer prayagraj old name let continueu,normal,0
1081,ching chong ling long,normal,0
1852,david warner right royal twat hugh famili blame anyth freak accid tu,normal,0
2739,im yo favorit spic,normal,0
496,jimmi your alon paisa includ sibl shithol countri crossedu,offensive,1
4906,boyfriend uncl gf plaster reassur shes crazi stupid dumb retard idiu,normal,0
3361,mongi jonni come late doubt rememb go home fanu,normal,0
4664,america edg precipicen nyesterday trump rant ucshithol countriesud inu,normal,0
5535,thank friend daili remind unfollow googl retard anyth,offensive,1
2599,rojonegro,offensive,1
4003,youur fuck retard agre helicopt danger twat thatus total pointu,normal,0
1064,cunt god,offensive,1
1391,four illeg alien accus kidnap rape two teenag sister,normal,0
231,hereus ur question faggot uddudc anoth faggot u isnt fuck question faggot,normal,0
4229,face tattoo bold move alpha cunt bold move uddudefudcudfn n,normal,0
3818,lakh peopl illeg immigr hard believ unimagin immigr ent,normal,0
1171,illeg alien crimin becam crimi,offensive,1
793,,normal,0
3980,rat apolog call normani nigger,normal,0
530,want rais tax take gun let illeg alien countri kill unborn child,normal,0
3937,snugglenphys within thensam mi tango twat thatnne park lot rendezv updat,normal,0
5266,one irl chine whenev educ girl say ching chong shit girl goe,normal,0
3779,manni machado chap cunt,normal,0
2502,blame victim say armedimagin shithol countri youru,normal,0
1861,buncha peopl shithol countri come bring economi free healthcar andu,hateful,1
1836,rakhi sawant dumb mental retard amp need put away mental asylum need shutup amp knowu,offensive,1
2605,wilder knock peopl fun tyson know twitter twat king anu,offensive,1
1560,ching chong wing wong,offensive,1
737,hang cunt throw brick slowli choke death,normal,0
498,maggi twitter tonight one would think lesbian feminazi asexu,offensive,1
2851,toni come fake as ching chong boy,offensive,1
4378,florida shithol armpit unit state werenut gulfu,offensive,1
1408,golden visa wealthi immigr abus quebec immigr pro via,normal,0
1183,im spic make choos two dead peopl wan na get ta die ever,normal,0
1091,god look like faggot,abusive_hateful,1
4894,well get facebook bk one dont use leave get bk wudnt date birth facebook fuck twat ugh,offensive,1
1076,see mean retard conserv support pou,disrespectful_normal,1
4365,fuck dumb cunt,offensive,1
4149,havenut see mudd upset sinc shithol countri,offensive,1
4181,maddenbishop big faggot ever,abusive_hateful,1
2064,ok mayb send finish,normal,0
5634,banter leicest chopper crash cunt post uddudcudcudffb block meuddudenth sure sign loseruddudcudcudffbnhu,offensive,1
4764,uda bossu da fuck cunt like mean world relevanu,offensive_hateful,1
318,ninjashyp aka toxic man say dont like see ching chong bing bong chat,hateful,1
2334,retard,normal,0
4554,start smoke weed like month ago old faggot,offensive,1
881,wealthi cunt address popul reduc penuri master plan kick,normal,0
1190,howus work exact refuge ucshitholeud countriesu,normal,0
5152,oui je ne comprend pa pourquoi ceux qui veulent accueillir les migrant nen prennent pa,normal,0
3910,bjp govt bring nrc identifi lakh illeg immigr amit shah,normal,0
1190,howus work exact refuge ucshitholeud countriesu,normal,0
3242,lewi faggot,normal,0
2954,cia tri kill say nigger,offensive,1
597,hit like arrow move air anoth belter keown even though arrow goe straight big mongi ugli cunt,normal,0
5092,thank,normal,0
1242,one person call chink chinki ching chong ium go kick ball,normal,0
2212,twat white hous,normal,0
3299,he fellow spic,normal,0
2534,lmfao donut like dude yuall network uddudeuddudeuddudeuddud man retard,normal,0
1155,anyon el larp retard whole time haha right guy,normal,0
4215,dont sensit god faggot,offensive,1
1002,countri wouldnt shithol imagin ouru,offensive,1
2037,stop copi art twat,normal,0
1242,one person call chink chinki ching chong ium go kick ball,normal,0
5456,that retard,offensive,1
1599,youull never zyzz bruh fuckin sick cunt bruh,offensive,1
421,omg babe thank uddudeduddudc,normal,0
924,ium mad puig big twat go imo,offensive,1
3015,trumpus shithol countri letus put arm guard build wall everi zip code america shalu,offensive,1
578,your still nigger,offensive,1
3361,mongi jonni come late doubt rememb go home fanu,normal,0
4054,canelo still bounc big mongoloid,abusive_offensive_hateful_disrespectful_normal,1
5376,lol anxieti attack day haha faggot,normal,0
1621,suppos deter give one lmfaooand nigger capit sentenc use,offensive,1
4660,ohh defint work mayb depend gon na put dumb retard side noru,offensive,1
958,love tell admir shes volunt work syrian refuge,normal,0
2075,knew mean even doubt lol uddud nthe man spic spam nnthe say spic span spamu,fearful_offensive,1
3582,whatev u say spic p im actual latino,normal,0
2440,ching chong,normal,0
5134,co u fuck retard sup twatchop uddudea,offensive,1
5347,nigger chip kelli ruin everyth,hateful,1
1087,say refuge never commit terror u,normal,0
5002,mani arab state donut declar tu,normal,0
867,think need person page ig much ratchet retard shit canut post uddud,normal,0
3442,yuall sound amp retard suspens bless disguis yuall hoop galav wit thu,offensive,1
1579,still follow twat see mani time retweet uddudeuddudeuddud,offensive,1
4763,breh chillll ever south dont use slang negro io,normal,0
4587,trump cultur whous shithol countri,normal,0
2104,ar expens ny well look absolut retard hu,offensive,1
4104,well buddi salti low uddudeuddudeuddud let chinaman beat plus channel su,abusive_disrespectful,1
1451,turn away refuge kind ignor sick kind use campaign fund pay,normal,0
1070,here retard uddudcudcudffc tri use non function brain spread hatr,offensive,1
424,nigger lion heart wish god forward ever back ward never man say,normal,0
5403,cum bic ching chong,normal,0
906,u set lil camel toe pregnant know twat get lil twang,normal,0
1177,pal alway gon na wavelength twat,offensive,1
3365,realli start chop dyke,offensive_normal,1
4507,icicl twat,normal,0
1778,canut ever open grindr ugli creepi faggot manag wear fullon bdsm dominatrix gear pru,offensive,1
315,parent call loner faggot say,offensive,1
2923,ching chong sing along,offensive,1
5644,like fuck twat im damag heal run biotic energi guu,hateful,1
4111,get see retard tonight udcudfa,normal,0
2020,whenev hit follow feel selfdestruct like nigger near cop car,normal,0
5533,bad nigger,normal,0
3386,boroqul general friend ambush tume learn video conquu,abusive_normal,1
3179,cut aid shithol countri might smarten,normal,0
4517,ill dress black face chinaman savag injun whatev want america horsefac,normal,0
4264,rais hand think puig twatwaffl ub,normal,0
125,omg tea use term hurt offend use sorri idc youur retard uddudeu,normal,0
1428,non kpop fan call chine ching chong chnks see nobodi outsid east asian fando,offensive,1
2500,call spic go,normal,0
4580,retard,normal,0
1985,rememb retard fifteen sixteen uddudeuddud,offensive,1
1923,trump jr end jail hunt instead defenseless anim africa,hateful,1
3201,,normal,0
3957,faggot fuck sellout iq pebbl brain autist slut,normal,0
627,articl doesnt realli say anyth spic,offensive,1
4773,oh shit find anoth mongol theme folk metal bandntim add collectionn,normal,0
973,bore twat mosso,normal,0
935,c bomb put thrown around lot dont cuntwhat cunt tou,offensive,1
569,uddudeuddudeuddudeuddudeb boy bout retard,offensive,1
35,come serv faggot messag open look new faggot fill space wallet,offensive,1
354,yes polit motiv terrorist white leftist,offensive,1
5266,one irl chine whenev educ girl say ching chong shit girl goe,normal,0
166,yay kela ching chong today,offensive,1
222,anoth mongoloid twitter,normal,0
4538,laugh retard man,disrespectful_hateful,1
1173,dude realli faggot,normal,0
715,marketbuy lowcap trash like retardnnyesnndid feel goodnnyesnnwil get rektnny,normal,0
4348,cant possibl imagin step plate bench lmfao retard chest would explod uddud,offensive,1
4024,flee shithol countri suffer poverti hunger poor health woulu,normal,0
1831,tryna scam money men ium unsuccess tonight guess smell dyke goodnight,abusive_offensive,1
4906,boyfriend uncl gf plaster reassur shes crazi stupid dumb retard idiu,normal,0
1369,countri road bump signag blame dead night accid naivasha say,offensive_normal,1
1808,high pitch ching chong,offensive,1
2968,hey spic kinkdom big get fact send ur littl puppet talk smacknnur server isu,hateful,1
3689,dont get point faggot ahahah,abusive_disrespectful,1
1183,im spic make choos two dead peopl wan na get ta die ever,normal,0
4801,jesus christ im pretti sure he retard,abusive_disrespectful,1
822,msmntrump nazi jew killer nthey go full retard,normal,0
1558,homi gloria pull place finna spic amp span fold drawer uddudeduddudeduddudduddudd hate clean,normal,0
2651,imagin get call retard presid twitter,normal,0
1034,fuck spic wont know hit uddudeuddudeuddud,offensive,1
3492,quand arriv en retard,offensive,1
3294,mongol vow continu refer prayagraj old name let continueu,normal,0
527,well job job activist alli immigr lgbtq communiti,normal,0
1552,palabek refuge settlement centr lamwo district host south sudanes refuge,normal,0
923,he go cant find anymor ching chong,offensive,1
4923,dont like trump alway go back countri guest,normal,0
4375,los quis fuck retard,offensive,1
5307,he booter moron like u liter retard ur anoth toxic young kid go vibe lil peepu,normal,0
5272,tyron retard,offensive,1
689,countri run like zimbabw do shithol african state,normal,0
4065,taylor mongol,disrespectful_normal,1
2710,hey nigger lover what,offensive_hateful,1
5315,guy want eat fat dick go figur dont jump mention caus faggot ass butt hurt lose,fearful_abusive_offensive_hateful_normal,1
1574,pictur tell thing black girl call nigger reject,abusive_offensive,1
3686,time ive chin club ive wait year hit hard next time faggot,normal,0
2243,total twat,offensive,1
2398,sorta cunt must owe someon money blatant avoid give patch text etc go nighu,offensive,1
2969,lgbtq peopl seek asylum uk tell go back countri pretend,fearful_hateful,1
3737,quot okay white get mad bc co,fearful_offensive_hateful_disrespectful_normal,1
4809,mauam major cunt muffin,offensive,1
282,forget group mongi stoke fan wait outsid leave ground youu,normal,0
1027,trio accus conspir get illeg alien mi driver licens via,normal,0
3872,bet someth hamcat,normal,0
4126,follow pumpkin spic lattu walk around block,offensive,1
3686,time ive chin club ive wait year hit hard next time faggot,normal,0
3855,stop pleasin strangersninstead fam twat,offensive,1
1267,french german spanish ad annoy top wtf twitter dont speak ching chong,normal,0
2319,retard,offensive,1
4431,al throw geezer parti get cunt dog bone tell two word springburn soundsystem x,offensive,1
699,woah ium smile like twat rn thank,offensive,1
3419,wish situationissu racist call spic racist shit god know uddudeuddudeuddud,offensive,1
407,caus money connect doesnut mean youur guilti trick as bitch becom cunt nu,normal,0
4885,bad night consid part mongoloid,normal,0
4557,hous nigger googoo gaga,abusive_offensive,1
4135,cant believ american vote retard lead countri,fearful_offensive_disrespectful_hateful_normal,1
5002,mani arab state donut declar tu,normal,0
4407,okay white celebr australia day,normal,0
5125,yeah retard haha,fearful_abusive_offensive_hateful_disrespectful,1
1654,leav move shithol countri africa mayb rwanda,offensive,1
3368,ad video playlist martin garrix anim dj fatal despic mash,normal,0
1656,name ching chong indi chine version ayush man bharat would accept,fearful_abusive_offensive_disrespectful_normal,1
2009,get countri raghead,hateful,1
3099,fukk kany faggot as nigga,hateful_normal,1
1802,look like mongol turkish sister wid son atagaym erdogan lol,normal,0
4249,believ oblig stand immigr state,normal,0
5075,next cunt mention scorpio season get one two kostya tzu,offensive,1
3870,listen watch kwame nkrumah achiev countri africa larg medium hub,normal,0
4915,nigger need hous,abusive_offensive_hateful_disrespectful_normal,1
3542,uddud peopl retard af donut call talk wreck uddud,normal,0
4196,one horribl fuck twat thing,offensive,1
2356,shouldnut bother youur most spic,hateful_normal,1
4546,democrat dont want give brett kavanaugh due proce right want give illeg alien possibl due pr,offensive,1
2143,sweden pm continu pursu issu compel countri accept quota refuge come eu,fearful_normal,1
2579,vlog funny omg dyke friend w soo funni miss rjfjfhyf,offensive,1
7,btw allow say shithol countri also allow say wesu,normal,0
2424,oh yuall good tell faggot as,offensive_hateful,1
2225,whole hypocrit hous nigger,offensive,1
3614,twat say wrong day prais emri,normal,0
4265,christian retard,normal,0
3205,yet hungri child homeless vet illeg alien,offensive,1
3298,everyon busi help refuge illeg alien,fearful_normal,1
421,omg babe thank uddudeduddudc,normal,0
1155,anyon el larp retard whole time haha right guy,normal,0
1482,enter age retard terrorist,offensive,1
3699,he cool he retard sometim,normal,0
416,wouldshould new chine immigr care chinatown strathcona,hateful_normal,1
1202,get well joke blue check retard call laura joke follow fuck hilari,offensive,1
1541,nigga get beat duke dyke girlfriend say got much testosteron udeuddudeuddudeuddudeudd,offensive_hateful,1
2457,come broadway season robust mongoloid music,normal,0
5619,intellectu terrorist,normal,0
4953,name isnut raghead trailer trash,offensive,1
4906,boyfriend uncl gf plaster reassur shes crazi stupid dumb retard idiu,normal,0
3500,shithol countri son bitch bleed whatev sleepi eye grab theu,offensive,1
1391,four illeg alien accus kidnap rape two teenag sister,normal,0
4005,ok spic,normal,0
1442,game glitch cunt complet challeng like time actual count,hateful_disrespectful,1
5092,thank,normal,0
4440,defend someon kenya high that kenya shithol countri,offensive,1
3309,basebal analist fuck retard,abusive_offensive,1
3693,northern nativ american mongoloid featur like asian look eskimo su,normal,0
3632,peopl go stop illeg alien vote,normal,0
2472,time self teach entir abstract languag learn favorit ching chong boy say,offensive_hateful,1
4625,hahahaha know read ching chong chang even wasnt chine,offensive,1
4812,lad bush jet pull hair extens uddudeuddud grade twat,offensive,1
1756,havent get chinaman chanc,normal,0
4125,shock wife call lazi twat walmart yesterday almost fell motor scooter,normal,0
3091,red sox go win world seri guy like dever pearc meanwhil loser retard mu,normal,0
5108,humor negro,normal,0
5283,faggot pay new underwear messag fu,offensive_hateful,1
2292,hey there like guy tik tok iron shit that hot fuck im say im faggot dude,normal,0
1889,julio uria spic,normal,0
2818,u see coloni right id blast write vmin get lose mongol shobhajatra ppl wu,normal,0
213,america go offici bankruptci quicker due mani illeg alien,normal,0
5355,happi birthday talent mongol wish best miss u yie tc gbua uddudc,normal,0
2292,hey there like guy tik tok iron shit that hot fuck im say im faggot dude,normal,0
763,word review refuge,normal,0
5069,close border wall build never assimil amp bring diseas that erad,normal,0
4814,illeg alien,offensive,1
418,ved dumbass seasid retard,offensive,1
5364,want talk immigr child miss k,normal,0
4226,cant understamd shit ching chong,offensive,1
1395,funni mention splode come second mongoloid shot twice rocket launcher,offensive,1
3271,even call countri shithol peopl shithol peopl sad,offensive,1
1373,haiti list second wors place travel shithol wasnt talkingu,normal,0
867,think need person page ig much ratchet retard shit canut post uddud,normal,0
118,spic polach,offensive_hateful,1
1715,lanc stephenson get retard strength,offensive,1
3096,mate dont u messag like ffs instead tourney shark ur play retard bad rule game,fearful_offensive,1
2825,drat feminazi abort devil come troll carload cash despic,hateful,1
871,cant even spell delusion twatuddud,offensive,1
